id,overview,title,release_date,genres,type
28,미국 특수부대의 윌라드 대위는 고향에 돌아갔다가 아내가 내민 이혼장에 도장을 찍고 다시 정글로 돌아온다. 혼돈과 막연한 갈망에 시달리던 윌라드에게 떨어진 임무는 캄보디아에 자신의 왕국을 건설한 커츠 대령을 암살하라는 것. 커츠 대령은 한때 가장 뛰어난 군인으로 인정받았으나 미국의 통제를 벗어나 캄보디아에서 독자적인 왕국을 거느리고 있다. 윌라드 대위는 4명의 병사들과 함께 커츠 대령을 찾아 나선다. 폭염과 광기로 가득한 전투를 겪으면서 두려움과 공포로 이성을 잃어가던 그들은 마침내 커츠 대령의 왕국에 도착한다. 그리고 그곳에서 윌라드 대위는 상상을 초월하는 진실을 마주하게 되는데...,지옥의 묵시록,1979-05-19,"드라마, 전쟁",movie
33,"늙은 총잡이 빌 머니(클린트 이스트우드)는 아내 없이 자식들과 돼지를 키우며 어렵게 산다. 어느 날 두 총잡이가 창녀의 얼굴을 흉하게 만드는 사건이 일어난다. 보안관 리틀 빌 대거트(진 핵크만)는 약간의 벌금으로 범인들을 풀어주고, 이에 분개한 창녀들은 현상금을 걸어 총잡이 악당들을 잡고자 한다. 젊은 총잡이 스코필드(제임스 울벳)는 현상금을 위해 머니에게 협조를 구한다.머니는 오랜 동료인 레드 로건(모건 프리먼)까지 합세해 함께 떠난다. 보안관 빌은 총잡이들의 말썽을 막으려다 머니의 동료가 보안관 일행에 의해 죽는다. 머니는 복수를 결심하고 보안관과의 싸움을 시작하는데...",용서받지 못한 자,1992-08-07,서부,movie
35,"평화로운 마을 스프링필드, 호머, 마지, 바트, 리사, 매기 심슨 가족은 매일매일 사건사고 속에도 나름(?) 행복하게 살아간다. 바트와 함께 간 식당에서 우연히 새끼돼지와 운명적인 사랑에 빠진 호머 심슨. 그러나 이 돼지, 변을 너무 많이 싼다. 돼지 변을 버리러 나간 호머, 도넛을 공짜로 준다는 말에 정신을 잃고 그만 돼지변을 호수에 버리고 마는 데, 사건은 이제부터 커진다. 천 개의 눈을 가진 물고기가 생겨나고, 돌연변이 개구리가 스프링필드를 휘젓고 다니고, 스프링필드마저 호수로 인해 오염된다. 슈왈제너거 대통령은 스프링필드 봉쇄 명령을 내리고, 스프링필드를 커다란 돔 안에 가둬버린다. 하지만 심슨가족은 알래스카로 튀어버렸다. 호머, 스프링필드를 이대로 놔둘 셈이야? 스프링필드를 구해줘, 호머 심슨!!",심슨 가족: 더 무비,2007-07-25,"가족, 애니메이션, 코미디",movie
38,"조엘은 아픈 기억만을 지워준다는 라쿠나사를 찾아가 헤어진 연인 클레멘타인의 기억을 지우기로 결심한다. 기억이 사라져 갈수록 조엘은 사랑이 시작되던 순간, 행복한 기억들, 가슴 속에 각인된 추억들을 지우기 싫어지기만 하는데... 당신을 지우면 이 아픔도 사라질까요? 사랑은 그렇게 다시 기억된다.",이터널 선샤인,2004-03-19,"SF, 드라마, 로맨스",movie
40,,Dallas,,"가족, 드라마, 연속극",tv
43,,31 Minutos,,"가족, 어린이, 코미디",tv
47,,El Chavo del Ocho,,"가족, 드라마, 코미디",tv
52,1970년대 교외에 사는 한 십대 소년과 친구들이 지하실 방에 모여 록 음악을 듣고 멋진 70년대 문화의 즐거움을 한껏 만끽한다.,70년대 쇼,,"가족, 드라마, 코미디",tv
55,형수와 사랑에 빠진 옥타비오는 그녀와 야반도주할 비용을 마련하기 위해 애견을 투견장에 내보낸다. 유부남 다니엘은 가족을 버리고 유명 모델 발레리아와 새 살림을 차린다. 게릴라 출신의 살인청부업자 엘 치보는 잊고 지냈던 딸의 주위를 맴돈다. 각자 다른 영역에 있던 이들의 삶은 갑작스런 교통사고를 계기로 서로 얽히는데...,아모레스 페로스,2000-06-16,"드라마, 스릴러",movie
58,잭 스패로우는 블랙펄을 되찾아 포트 로열을 떠났지만 그를 기다리는 것은 수평선만이 아니었다. 유령선 플라잉 더치맨의 선장 데이비 존스는 잭이 자신에게 피로 진 빚이 있다면서 빚을 갚거나 영혼을 내놓으라고 요구한다. 불행 중 다행한 것은 잭에게 피의 빚 외에도 중매의 은총이 있었다는 것. 결혼을 앞둔 윌 터너와 엘리자베스 스완은 만사를 제쳐두고 옛 친구를 도우러 온다. 잭을 구할 수 있는 단 한 가지 방법은 세상 끝에 있다는 망자의 함을 찾는 것 뿐인데...,캐리비안의 해적: 망자의 함,2006-07-06,"모험, 액션, 판타지",movie
62,,The Challenge,,"SF, 리얼리티, 모험, 미스터리",tv
62,"인류에게 문명의 지혜를 가르쳐 준 검은 돌기둥의 정체를 밝히기 위해서 디스커버리호의 선장 보우만과 승무원 풀은 목성을 향해서 날아간다. 하지만 평온하던 디스커버리호에 갑자기 재난이 찾아온다. 우주선 내부에서 일어난 재난은 컴퓨터 HAL이 반란을 일으킨 것. HAL은 풀을 우주선 밖으로 던져버리고, 보우만까지도 모선 밖으로 끌어내지만 그는 필사의 노력으로 HAL을 제압한다. 보우만은 마침내 목성 궤도에서 문제의 검은 돌기둥을 발견하지만, 그 순간 우주의 급류에 휘말리게 된다. 보우만은 지구로의 귀환을 위해 노력하고, 신비한 시간의 흐름을 경험하는데...",2001 스페이스 오디세이,1968-04-02,"SF, 리얼리티, 모험, 미스터리",movie
68,"연도를 알 수 없는 미래. 정보화로 인해 모든 것이 획일화된 사회에서 샘 로우리는 지극히 평범하고 심심한 삶을 살고 있다. 정보국에서 서기로 일하고 있는 말단 관리인 샘은 꿈속에서 중세의 기사가 되어 하늘을 날며, 아름다운 여인을 구해내곤 한다. 어느 날 정보국 직원의 실수로 터틀이란 테러범을 잡는다는 것이 버틀이란 무고한 시민의 생명을 빼앗는 일이 되어 버리고, 샘은 그의 가족들에게 보상금을 지급하는 임무를 맡게 된다. 그 곳에서 그는 꿈 속의 여인인 질을 만나게 된다. 꿈속에서와 달리 그녀는 거친 트럭 운전수이자 반정부주의자였는데...",브라질,1985-02-20,"SF, 코미디",movie
70,"딸과의 관계가 소원해진 채 혼자 낡은 체육관을 운영하며 권투 선수들을 키우는 프랭키(클린트 이스트우드)에게 매기(힐러리 스웽크)가 찾아온다. 선수로 키워 달라는 말에 프랭키는 30살이 넘은 여자라는 이유로 매몰차게 거절하지만 매기는 계속 체육관에 와서 연습하길 멈추지 않는다. 선수 때 한쪽 눈을 잃고 지금은 프랭키 체육관의 청소부로 일하며 지내는 스크랩(모건 프리먼)이 조금씩 매기를 돕는다. 매기의 열의에 못이긴 척 프랭키는 트레이너가 되어 함께 경기에 나가며 점점 가까워진다. 항상 자신을 보호하라는 가르침 속에 훈련은 계속되고 마침내 챔피언 쟁탈전에 나가지만, 상대방 선수의 반칙으로 매기는 크게 다치게 되는데...",밀리언 달러 베이비,2004-12-05,드라마,movie
72,,Only Fools and Horses,,코미디,tv
73,"3년 전 강도 사건으로 소방수였던 아버지를 잃은 데렉은 백인 우월주의자들의 모임인 DOC에 관심을 갖게 되면서 유색인종에게 그 분노와 증오를 터트린다. 그는 혐오스러운 유색인종들을 이 땅에서 몰아내야 한다고 주장하면서 강렬한 카리스마로 동료들 사이에서 영웅이 된다. 가족들은 그런 그의 모습을 걱정하여 만류하지만, 단 한 사람, 동생 대니만은 그를 전적으로 믿고 따른다. 어느 날, 데렉에게 적대감을 품은 흑인들이 아버지의 낡은 밴을 훔치러 왔을 때 그는 서슴없이 그들에게 총을 겨눈다. 그리고는 총을 맞고 신음하는 그를 참혹하게 죽이고 마는데...",아메리칸 히스토리 X,1998-07-01,드라마,movie
74,"레이 페리어는 이혼한 항만 근로자로 아무런 희망 없이 매일을 살아간다. 그러던 어느 주말, 그의 전 부인은 아들 로비와 어린 딸 레이첼과 주말을 보내라고 레이에게 맡긴다. 그리곤 얼마 안 있어 강력한 번개가 내리친다. 잠시 후, 레이는 그의 집 근처에 있는 교차로에서 그들의 삶을 영원히 바꾸어버릴 엄청난 사건을 목격하게 된다. 커다랗고 다리가 셋 달린 정체 불명의 괴물이 땅속 깊은 곳에서 나타나 사람들이 미처 반응도 하기 전에 모든 것을 재로 만들었다. 평범했던 하루가 갑자기 외부의 알 수 없는 침략자들의 첫 번째 지구 공격으로 그들 인생에서 가장 엄청난 사건이 일어난 날이 되어버린 것이다. 레이는 그의 아이들을 이 무자비한 새로운 적들로부터 보호하기 위해 급히 피난을 떠나, 파괴되고 황폐해진 도시를 가로지르는 여정에 오른다. 거기서 그들은 침략자들을 피하기 위해 필사적으로 도망치는 피난민들을 만나 합류하게 된다. 그러나 그들이 어디로 가든지 안전한 곳은 없고, 피난처도 없다. 단지 소중한 사람을 지켜내겠다는 레이의 확고한 의지만 존재 할 뿐인데…..",우주전쟁,2005-06-28,"SF, 모험, 스릴러",movie
76,"프랑스 파리의 소르본느 대학생인 셀린느는 헝가리 부다페스트에 사는 할머니를 만나고, 가을 학기 개강에 맞춰 파리로 돌아가는 길이다. 셀린느는 옆자리의 독일인 부부가 시끄럽게 말다툼하는 소리를 피해 뒷좌석으로 자리를 옮기는데, 거기서 제시라는 미국인 청년과 우연히 얘기를 나누게 된다. 우연히 만난 그들은 짧은 시간에 서로에게 빠져든다. 그림 같은 도시와 꿈같은 대화 속에서 발견한  서로를 향한 강한 이끌림은 풋풋한 사랑으로 물들어 간다. 밤새도록 계속된 그들의 사랑 이야기 끝에 해가 떠오르기 시작하고 그들은 헤어져야만 하는데...",비포 선라이즈,1995-01-27,"드라마, 로맨스",movie
77,"전직 보험 수사관이었던 레너드에게 기억이란 없다. 자신의 아내가 강간당하고 살해되던 날의 충격으로 기억을 10분 이상 지속시키지 못하는 단기 기억상실증 환자가 되었던 것이다. 그가 마지막으로 기억하고 있는 것은 자신의 이름이 레너드 셸비 라는 것과 아내가 강간당하고 살해당했다는 것, 그리고 범인은 존 G 라는 것이 전부. 레너드는 자신의 가정을 파탄 낸 범인을 찾기 위한 방법으로 메모와 문신을 사용하게 된다. 하지만 진실에 다가갈수록 자신의 기억, 주위 사람들에 대한 의심이 갈수록 커져만 가는데...",메멘토,2000-10-11,"미스터리, 스릴러",movie
78,,Dateline,,"SF, 다큐멘터리, 드라마, 범죄, 스릴러",tv
78,"2019년, 지구의 파괴와 엄청난 인구증가로 인해 다른 행성을 식민지 이주가 본격화된다. 2주전 6명의 복제 인간 리플리컨트가 식민행성에서 탈출, 23명을 죽이고 우주선을 탈취하여 지구로 잠입한다. 전투용 로이 베티와 리온, 살인 훈련을 받은 조라, 식민행성 군인 클럽 소속의 위안부 프리스가 그들이다. 이들은 타이렐사에 침입하려 하지만 한 사람이 죽고, 직원으로 위장한 리온이 회사 간부의 테스트에 발각되어 도주한다. 이에 경찰은 복제 인간을 구별할 능력을 지닌 블레이드 러너 데커드를 호출하는데...",블레이드 러너,1982-06-25,"SF, 다큐멘터리, 드라마, 범죄, 스릴러",movie
79,"도라는 원숭이 친구 부츠와 함께 남미의 정글들을 여행하는 것을 좋아하는 쾌활하고 활발한 여자아이 도라에 대한 대화식 애니메이션 시리즈입니다. 도라는 부모님과 같이 정글에 살고 있어요. 도라는 호기심이 많고 숲에 있는 모든 동물들, 식물들, 꽃에 대해서 알고 싶어해요. 도라는 여행을 떠날 때면 작은 등에 항상 노래하는 지도와 구명장비들을 챙긴답니다!",도라도라 영어나라,,"가족, 애니메이션, 액션&모험, 어린이",tv
80,"비엔나에서의 꿈 같은 하루 이후 9년이 지나, 파리에서 다시 마주한 제시와 셀린느. 비엔나의 특별한 추억을 소재로 쓴 베스트셀러의 유럽 홍보 투어 중인 작가 제시는 파리의 서점 구석에 서 있는 셀린느를 발견한다. 그가 뉴욕행 비행기에 오르기까지 남은 시간은 한 시간 남짓. 서로 같지만 다른 기억을 간직해 온 두 사람 사이에는 묘한 기류가 감돈다. 그들은 파리의 골목과 카페와 센강의 유람선, 셀린느의 아파트를 돌아다니며 빈곤과 환경오염, 종교, 세계의 절망과 희망, 섹스와 결혼을 이야기한다. 그렇게 그 간의 진심을 서로에게 털어놓는 사이, 해는 저물고 또 다시 헤어짐의 순간이 다가오는데...",비포 선셋,2004-06-16,"드라마, 로맨스",movie
81,"천 년 전, 불의 7일간으로 불리는 전쟁이 끝난 후 지구는 죽음의 행성으로 변했다. 점점 커지는 곰팡이의 숲인 부해가 유독가스를 내뿜어 사람이 살 수 있는 땅도 얼마 남지 않았다. 자연과 대화를 나눌 수 있는 특별한 소녀 나우시카는 그 중 깨끗한 바람계곡에서 살고 있지만 부해는 이곳마저 먹어치울 듯 가깝게 다가온다. 그러나 위기는 인간들의 다툼에서 시작된다. 군사제국 토르메키아가 불의 7일간을 초래했던 병기 거신병을 부활시키려는 계획을 시작했기 때문. 바람계곡은 분쟁에 휘말리고 나우시카는 토르메키아와 맞서는 도시 국가 페지테의 인질이 된다. 그 와중에 나우시카는 부해가 지구를 정화하고 있었다는 사실을 깨닫는데...",바람계곡의 나우시카,1984-03-11,"모험, 애니메이션, 판타지",movie
82,,Animaniacs,,"가족, 애니메이션, 어린이, 코미디",tv
85,"1936년 남아메리카. 인디아나 존스 박사는 험난한 밀림 지대를 헤치고 독거미와 온갖 부비트랩을 뚫고서 고대 문명의 동굴에 보관된 보물을 손에 넣는데 성공하지만, 마지막 순간 악덕 고고학자 벨로크에게 빼앗기고 만다.  대학으로 돌아온 인디에게 정보국 사람들이 찾아온다. 정부로부터 성서에 나오는 성궤를 찾으라는 명령을 받는은 인디는 단서를 하나하나 찾아가며 성궤의 행방을 추적해 나간다. 그런데 나치군들도 역시 전쟁에 가지고 나가기만 하면 모든 전쟁에서 승리를 거둘 수 있는 무서운 힘을 지닌 성궤를 찾아나서는데...",인디아나 존스: 레이더스,1981-06-12,"모험, 액션",movie
88,"1963년 베이비(제니퍼 그레이)라는 애칭의 프란시스는 의사인 아버지 제이크(제리 오바하)와 어머니 마조리, 언니 리사와 함께 켈러만 산장으로 피서를 간다. 같은 또래의 젊은이들이 많이 있는 그곳에서는 저녁이면 댄스 파티를 즐긴다. 그러다 베이비는 댄스 교사 자니(패트릭 스웨이즈)와 그의 파트너인 페니(신시아 로즈)가 추는 춤에 매료된다.  베이비는 임신한 페니 대신 댄스 경연대회에 나가기 위해 연습을 하고 춤을 추면서 자니와 베이비는 사랑에 빠진다. 그러나 페니가 돌팔이 의사에게 중절수술을 받고 사경을 헤매게 되지만 의사인 베이비 아버지의 도움으로 살아나지만 자니는 아이의 아버지로 오인받고 해고된다. 피서 마지막 발표회에서 돌연 등장한 자니는 베이비와 환상적 더티댄싱을 선보인다.",더티 댄싱,1987-08-21,"드라마, 로맨스, 음악",movie
89,자신이 재직 중인 바네트 대학으로 돌아온 인디는 몇 달만을 비워뒀던 대학 연구실에서 오래 전에 도착한 아버지의 일기장을 발견한다.  고고학에 관심 많은 학생들을 피해 겨우 창문으로 빠져나온 존슨 박사는 윌터 도노반이라는 사람을 만난다. 도노반은 자신이 앙카라 북쪽에서 발견한 반쪽짜리 신의 석판의 탁본을 보여주며 헨리 박사의 일기장을 참고로 나머지 반쪽 석판과 예수가 최후의 만찬 때 사용했다는 술잔 성배를 찾아 달라고 부탁한다. 인디아나 존스는 아버지 헨리 존스 박사가 나치에게 납치 되었다는 소식을 듣고 베니스로 달려가는데...,인디아나 존스: 최후의 성전,1989-05-24,"모험, 액션",movie
90,"세계 각지에서 일어난 항공 사고를 검증하는 프로그램이다.  조종석 음성 기록 장치(CVR)와 비행 데이터 레코더(FDR), 목격자/사고기 탑승객/수사관의 인터뷰와 실제 교신 기록을 바탕으로 재현된 CG영상, 그리고 그 외의 다양한 영상 자료로 구성되어 있다.",항공사고 수사대,,"다큐멘터리, 드라마, 범죄",tv
93,"변호사 폴은 아내를 심하게 폭행하고 겁탈한 바텐더를 살해했다는 혐의로 체포된 미 육군 중위 벤의 변호를 맡게 된다. 검찰은 벤의 아내가 바텐더와 불륜의 관계를 맺고 있었으며 이를 질투한 벤이 바텐더를 살해한 것이라고 주장한다. 한편 폴과 그의 조수 아더는 지난 사건을 조사하던 중, 부인을 폭행하려 했던 남자를 살해하고도 '억제할 수 없는 충동'이라는 이유로 무죄로 풀려난 사람이 있었음을 밝혀내는데...",살인의 해부,1959-07-01,"드라마, 미스터리, 범죄",movie
95,전설로만 내려오고 있는 뱀파이어 슬레이어의 숙명을 지니고 살아가는 평범한 여학생이 친구들과 많은 조력자들과 함께 뱀파이어 및 괴물들을 퇴치해나가는 이야기,미녀와 뱀파이어,,"SF&판타지, 드라마, 액션&모험, 코미디",tv
97,,The Drew Carey Show,,코미디,tv
98,"죽을 날이 머지않은 황제 마르쿠스 아우렐리우스는 막시무스를 총애하여 아들이 아닌 그에게 권력을 넘겨주기로 한다. 황제의 아들 코모두스는 이에 질투와 분노를 느껴 황제를 살해한다. 왕좌를 이어받은 코모두스는 막시무스와 그의 가족을 죽이라고 명령한다. 가족을 모두 잃고 겨우 살아남은 막시무스는 노예로 전락하고, 투기장의 검투사가 된다. 그에게 남은 건 오직 황제 코모두스에 대한 복수 뿐. 검투사로서 매 경기마다 승리로 이끌면서 살아남자 그의 명성은 날로 높아 간다. 그러던 어느 날 오래 전 사랑했던 황제의 누이 루실라를 다시 만나게 되는데...",글래디에이터,2000-05-04,"드라마, 모험, 액션",movie
99,"간호사인 마누엘라는 문학을 좋아하는 아들 에스테반과 단둘이서 산다. 마누엘라의 생일을 맞이해서 에스테반은 엄마에게 연극 <욕망이라는 이름의 전차>를 보여주는데, 연극이 마친 후 마뉴엘라는 에스테반에게 스탠리역을 했던 에스테반의 아빠와 이 연극을 공연했다는 이야기를 한다. 아빠에 대한 이야기를 처음 들은 에스테반은 아빠를 보고 싶어하는데...",내 어머니의 모든 것,1999-04-16,"드라마, 코미디",movie
100,,I Am Not an Animal,,"범죄, 애니메이션, 코미디, 코미디",tv
100,"베이컨(제이슨 스테덤), 소프(덱스터 플렛쳐), 톰(제이슨 플레밍)과 에디(닉 모란) 패거리는 포르노 거물 해리가 여는 포커판에 끼려는 에디에게 가진 돈을 모두 준다. 그러나 이길 줄 알았던 에디가 졌을 뿐만 아니라 해리에게 빚까지 지게 된다. 일주일 안에 돈을 갚지 않으면 손가락이 잘릴 위기에 처한 에디는 대마초 패거리를 털려는 덕의 계획을 알고 덕 일당의 돈을 뺏기로 한다. 덕 일당이 돈과 대마초를 털어오자 집에서 기다린 에디 일당이 돈과 대마초를 빼앗는다. 에디 일당은 해리에게 빚을 갚고 대마초를 팔아 돈을 챙기기만 하면 된다고 기뻐하지만...",록 스탁 앤 투 스모킹 배럴즈,1998-08-28,"범죄, 애니메이션, 코미디, 코미디",movie
101,"한 손엔 우유 2팩이 든 가방, 다른 한 손엔 화분을 들고 뿌리 없이 떠도는 킬러 레옹은 어느 날 옆 집 소녀 마틸다의 일가족이 몰살 당하는 것을 목격한다. 그 사이 심부름을 갔다 돌아 온 마틸다는 가족들이 처참히 몰살 당하자 레옹에게 도움을 청한다. 가족의 원수를 갚기 위해 킬러가 되기로 결심한 12세 소녀 마틸다는 레옹에게 글을 알려주는 대신 복수하는 법을 배우고, 그 사이 레옹에 대한 사랑을 키워나간다. 드디어 그녀는 가족을 죽인 사람이 부패한 마약 경찰 스탠스임을 알게 되고, 홀로 그의 사무실로 향하게 되는데...",레옹,1994-09-14,"드라마, 범죄, 액션",movie
102,,오픈 하트,2002-09-06,"드라마, 로맨스",movie
103,트래비스는 베트남전에서 귀환한 후 불면증에 시달리며 사회에 적응하지 못하고 있다. 그래서 그는 택시 운전기사로 일하며 뉴욕의 밤거리를 다니며 타락한 사회를 보고 자신이 직접 이 악들을 제거하려고 마음 먹는다. 어느 날 트래비스는 우연히 12살 짜리 창녀 아이리스를 만나게 되고 그녀의 인생을 구하려 하지만 그녀는 집으로 돌아가길 꺼려 한다. 자신은 아무 것도 할 수 없다는 생각에 무기력해진 트래비스는 4개의 권총을 구입하고 상원의원 팔렌타인을 저격하러 나선다. 하지만 엉뚱하게도 사창가에서 피비린내 나는 총격전을 벌인 끝에 아이리스를 묶어두고 있던 포주 스포츠를 살해하고 마는데...,택시 드라이버,1976-02-09,"드라마, 범죄",movie
105,"마티 맥플라이(마이클 J. 폭스)는 평범한 고등학생이다. 그런데 평소 친하게 지내던 괴상한 발명가 에메트 브라운 박사(크리스토퍼 로이드)가 스포츠카 드로리안을 개조해 타임머신을 만들고, 뜻밖의 사고로 브라운 박사가 테러범들에게 총을 맞고 위험해진 상황에서 마티는 30년 전으로 가게 된다. 극장 간판에는 2류 배우인 로널드 레이건이 보이고 청년인 아버지와 어머니를 보게 된다. 젊은 아버진 멍청하고, 어머니는 미래의 아들인 마티를 좋아해 야단이다. 마티가 미래로 가는 것을 도와 줄 사람은 30년 전인 젊은 브라운 박사뿐인데...",빽 투 더 퓨쳐,1985-07-03,"SF, 드라마, 모험, 코미디, 코미디",movie
